id,task_id,task_type,state,priority,corner_a_lat,corner_a_lon,corner_b_lat,corner_b_lon,corner_c_lat,corner_c_lon,corner_d_lat,corner_d_lon,cruise_altitude_m,cruise_speed_ms,pattern,drone_id,assigned_at,started_at,completed_at,hotspots_detected,fires_suppressed,data_path,created_at,updated_at,notes
1,TASK-20251220-0001,scout,CREATED,high,33.2271901,-96.8252657,33.2272414,-96.8279586,33.2258722,-96.827984,33.2257764,-96.825298,15.24,5.0,serpentine,,,,,0,0,,"2025-12-21 02:36:16.396704","2025-12-21 02:36:16.396706",
2,TASK-20251220-0002,scout,CANCELLED,high,33.2271901,-96.8252657,33.2272414,-96.8279586,33.2258722,-96.827984,33.2257764,-96.825298,15.24,5.0,serpentine,1,"2025-12-21 02:39:47.963266","2025-12-21 02:39:47.964996","2025-12-20 21:18:10.862769",0,0,,"2025-12-21 02:39:47.960938","2025-12-21 03:18:10.864252",
3,TASK-20251220-0003,scout,CANCELLED,high,33.2271901,-96.8252657,33.2272414,-96.8279586,33.2258722,-96.827984,33.2257764,-96.825298,15.24,5.0,serpentine,2,"2025-12-21 02:40:43.329799","2025-12-21 02:40:43.332004","2025-12-20 21:19:03.378217",0,0,,"2025-12-21 02:40:43.324579","2025-12-21 03:19:03.379015",
4,TASK-20251220-0004,scout,CANCELLED,high,33.2271901,-96.8252657,33.2272414,-96.8279586,33.2258722,-96.827984,33.2257764,-96.825298,15.24,5.0,serpentine,3,"2025-12-21 02:42:22.479730","2025-12-21 02:42:22.481717","2025-12-20 21:19:51.626533",0,0,,"2025-12-21 02:42:22.476771","2025-12-21 03:19:51.627236",
5,TASK-20251220-0005,scout,CANCELLED,high,33.2271901,-96.8252657,33.2272414,-96.8279586,33.2258722,-96.827984,33.2257764,-96.825298,15.24,5.0,serpentine,4,"2025-12-21 02:43:48.992153","2025-12-21 02:43:48.993796","2025-12-20 21:20:12.193516",0,0,,"2025-12-21 02:43:48.989856","2025-12-21 03:20:12.194149",
6,TASK-20251220-0006,scout,EXECUTING,high,33.2271901,-96.8252657,33.2272414,-96.8279586,33.2258722,-96.827984,33.2257764,-96.825298,15.24,5.0,serpentine,5,"2025-12-21 02:45:10.392348","2025-12-21 02:45:10.394158",,0,0,,"2025-12-21 02:45:10.390048","2025-12-21 02:45:10.394649",
7,TASK-20251220-0007,scout,CREATED,high,33.2271901,-96.8252657,33.2272414,-96.8279586,33.2258722,-96.827984,33.2257764,-96.825298,15.24,5.0,serpentine,,,,,0,0,,"2025-12-21 02:48:35.340023","2025-12-21 02:48:35.340025",
8,TASK-20251220-0008,scout,CREATED,high,33.2271901,-96.8252657,33.2272414,-96.8279586,33.2258722,-96.827984,33.2257764,-96.825298,15.24,5.0,serpentine,,,,,0,0,,"2025-12-21 02:49:14.000314","2025-12-21 02:49:14.000317",
9,TASK-20251220-0009,scout,CREATED,high,33.2271901,-96.8252657,33.2272414,-96.8279586,33.2258722,-96.827984,33.2257764,-96.825298,15.24,5.0,serpentine,,,,,0,0,,"2025-12-21 02:52:05.126372","2025-12-21 02:52:05.126375",
10,TASK-20251220-0010,scout,EXECUTING,high,33.2271901,-96.8252657,33.2272414,-96.8279586,33.2258722,-96.827984,33.2257764,-96.825298,15.24,5.0,serpentine,1,"2025-12-21 02:52:33.790602","2025-12-21 02:52:33.792679",,0,0,,"2025-12-21 02:52:33.787591","2025-12-21 02:52:33.793176",
11,TASK-20251220-0011,scout,COMPLETED,high,33.2271901,-96.8252657,33.2272414,-96.8279586,33.2258722,-96.827984,33.2257764,-96.825298,15.24,5.0,serpentine,1,"2025-12-21 02:55:23.083741","2025-12-21 02:55:23.085611","2025-12-21 02:55:24.051958",0,0,data/SD-001_20251220_205523,"2025-12-21 02:55:23.081466","2025-12-21 02:55:24.052376",
